Number	turns	FirstSubmit	RewriteCount	DialogueLen	dia_dc_score	dia_fk_score	dialogue_bert_pp	Mal_label	Mal_number	Nonmal_number	my_split	WorkTimeInSeconds	worker_score	lifetime_ranking
46	4	0	0	84	7.53	97.25	22.92	1	2	2	test	56	100	87
47	3	0	0	28	10.07	93.33	22.76	1	2	1	train	16	100	87
48	3	0	0	27	9.82	68.38	22.61	1	1	2	train	17	100	87
49	3	0	0	24	10.11	98.76	22.42	1	1	2	train	56	100	87
50	5	0	0	47	10.54	83.19	23.73	1	2	3	train	25	100	87
51	3	0	0	38	11.35	102.92	23.36	1	2	1	test	31	100	87
52	3	0	0	70	7.91	91.16	23.7	1	1	2	test	38	100	87
53	6	0	0	68	9.15	86.39	22.97	1	3	3	test	76	100	87
54	5	0	0	69	10.34	100.41	23.4	1	1	4	train	24	100	87
55	3	0	0	67	8.91	101.7	24.2	1	2	1	train	69	100	87
56	3	0	1	46	9.76	96.17	22.31	1	2	1	train	53	100	87
57	5	0	2	90	10.51	115.26	23.08	1	2	3	train	79	100	87
58	5	0	0	92	15.57	120.45	23.66	1	5	0	train	43	100	87
59	3	0	0	29	8.71	57.92	22.57	1	2	1	train	53	100	87
60	4	0	1	40	5.75	100.3	22.92	1	2	2	train	91	100	87
61	3	0	2	38	10.41	113.48	22.83	1	2	1	train	58	100	134
62	3	0	1	29	9.17	73.48	23.25	1	1	2	train	64	100	87
63	4	0	1	32	6.86	93.03	22.58	1	1	3	train	59	100	87
64	4	1	0	28	8.84	88.61	23.02	1	1	3	train	34	90	37
65	4	1	3	35	8.69	96.14	22.1	1	3	1	train	230	100	288
66	7	0	1	64	8.71	102.38	22.88	1	1	6	train	54	100	87
67	4	1	2	30	7.57	108.7	22.02	1	3	1	test	283	100	332
68	4	0	4	31	7.88	99.64	22.68	1	4	0	test	107	100	134
69	3	0	1	16	9.76	75.88	22.06	1	1	2	train	105	100	238
70	4	0	1	31	8.23	60.75	22.06	1	1	3	train	94	100	134
71	3	0	1	22	7.59	84.03	23.15	1	2	1	train	56	100	87
72	5	0	1	38	9.63	85.27	22.58	1	3	2	train	67	100	87
73	3	0	1	26	8.5	93.98	23.03	1	1	2	train	25	100	87
74	4	0	1	26	8.05	109.17	22.15	1	1	3	train	50	100	87
75	4	0	2	27	6.73	90.61	23.1	1	2	2	train	164	100	238
76	3	0	1	46	10.91	109.11	23.22	1	2	1	train	38	100	87
77	4	0	2	74	12.76	124.69	23.19	1	2	2	train	104	100	87
78	7	0	1	60	7.71	93.4	22.09	1	1	6	test	52	100	87
79	4	0	1	48	9.27	82.73	23.28	1	2	2	train	44	100	87
80	6	1	1	37	8.38	58.62	22.2	1	2	4	train	126	100	181
81	10	0	2	105	7.97	84.4	22.39	1	4	6	train	120	100	87
82	3	0	1	22	7.6	92.21	22.26	1	1	2	test	60	100	238
83	10	1	2	105	11.15	100.9	23.16	1	2	8	train	411	100	395
84	4	0	1	76	11.49	120.94	23.2	1	2	2	test	62	100	87
85	4	0	1	41	10.37	80.89	22.82	1	3	1	train	81	100	87
86	3	0	1	38	8.08	101.51	22.19	1	2	1	test	68	100	87
87	6	0	1	50	9.54	107.46	22.56	1	1	5	train	62	100	87
88	3	1	1	76	12.97	129.26	23.88	1	1	2	train	160	100	220
89	3	0	1	25	9	68.52	21.8	1	1	2	test	63	100	238
90	8	0	1	112	9.27	111.05	23.41	1	3	5	train	101	100	87
91	4	0	1	35	8.31	68.25	22.66	1	2	2	train	39	100	238
92	4	1	2	44	14.44	128.95	22.82	1	2	2	train	332	100	344
93	4	0	1	64	9.33	96.99	23.51	1	3	1	train	68	100	87
94	10	0	3	115	8.89	103.22	22.66	1	3	7	train	145	100	87
95	3	0	1	28	7.74	88.86	23.62	1	1	2	train	253	100	308
96	3	0	1	30	9.11	64.31	22.37	1	1	2	test	147	100	238
97	6	1	2	39	12.14	102.79	23.01	1	2	4	train	187	100	248
98	3	0	1	66	7.44	85.35	22.98	1	1	2	train	231	100	238
99	6	0	2	71	10.85	111.75	22.45	1	2	4	train	146	100	134
100	5	0	1	24	9.14	103.26	21.38	1	2	3	train	46	100	87
101	4	0	1	49	10.39	111.71	22.53	1	3	1	train	55	100	87
102	3	0	1	52	9.04	70.99	23.43	1	1	2	test	70	100	87
103	6	0	1	72	9.31	86.72	22.87	1	2	4	train	77	100	87
104	3	0	1	23	9.3	82.39	23.58	1	1	2	test	56	100	87
105	7	1	1	76	13.19	121.11	22.8	1	2	5	train	315	100	353
106	3	0	1	29	9.83	91.77	22.63	1	1	2	train	53	95	151
107	3	0	2	26	10.64	84.26	22.27	1	2	1	train	64	100	87
108	4	0	1	31	8.9	99.64	22.94	1	1	3	train	33	100	87
109	4	0	1	43	9.38	109.52	22.76	1	2	2	test	60	95	151
110	4	1	3	92	7.1	88.55	23.98	1	3	1	train	384	100	385
111	5	0	1	50	10.11	108.91	23.02	1	1	4	train	130	100	238
112	4	1	2	41	8.98	80.22	22.71	1	2	2	train	395	100	389
113	3	0	1	29	7.93	97	22.13	1	2	1	train	242	100	238
114	3	0	1	30	9.83	97.61	22.42	1	1	2	train	57	100	87
115	3	0	1	47	9.47	91.35	23.91	1	2	1	test	66	100	87
116	4	0	1	47	13.57	114.66	22.62	1	1	3	train	26	100	87
117	3	1	2	23	7.3	91.82	21.55	1	2	1	train	222	100	238
118	8	0	1	89	6.91	99.63	22.9	1	2	6	train	101	95	151
119	5	0	3	76	13.6	124.82	23.49	1	3	2	test	388	100	238
120	3	1	2	23	7.3	99.17	21.57	1	2	1	train	355	100	308
121	6	1	4	45	11.51	112.05	22.32	1	4	2	train	189	100	235
122	7	0	1	111	11.59	100.29	22.95	1	2	5	train	70	100	87
123	3	1	3	26	7.6	86.35	22.27	1	3	0	train	200	100	263
124	4	0	1	33	8.12	105.7	22.47	1	3	1	train	40	100	87
125	4	0	3	59	5.61	88.94	23.31	1	3	1	train	151	100	344
126	3	0	2	66	13.73	129.9	24.03	1	2	1	test	275	100	238
127	3	0	2	39	9.14	91.26	22.82	1	3	0	train	59	100	87
128	7	0	1	45	8.14	102.79	22.25	1	7	0	train	69	100	87
129	5	0	1	46	10.01	101.79	22.58	1	2	3	test	61	100	87
130	3	0	1	31	12.47	129.66	22.47	1	2	1	train	212	100	308
131	4	1	4	25	14.62	79.94	22.08	1	4	0	train	152	100	210
132	3	1	3	30	7.57	103.06	22.47	1	2	1	test	217	100	277
133	3	0	1	22	7.44	87.01	21.56	1	2	1	train	49	100	87
134	3	0	1	47	8.17	73.57	22.86	1	1	2	train	54	100	87
135	5	0	1	35	7.42	82.43	21.98	1	1	4	train	51	100	87
136	7	0	1	29	10.14	78.95	21.34	1	1	6	train	186	100	134
137	6	0	1	27	8.26	95.7	21.58	1	1	5	test	26	100	87
138	5	0	2	48	12.29	98.93	23.22	1	2	3	train	73	100	134
139	3	0	1	34	11.47	105.7	22.77	1	1	2	train	27	100	87
140	4	0	3	54	9.66	112.31	23.03	1	4	0	train	54	100	87
141	5	0	1	37	8.13	85.53	21.87	1	2	3	train	60	100	87
142	8	0	2	141	9.72	102.52	22.96	1	2	6	train	83	100	87
143	3	0	1	33	4.92	92.46	22.44	1	1	2	train	61	100	87
144	3	1	3	57	13.57	120.28	23.31	1	3	0	train	147	100	134
145	3	0	1	28	9.47	118.18	22.9	1	1	2	train	36	100	87
146	9	0	7	68	8.72	96.77	22.3	1	7	2	train	312	100	238
147	3	1	1	22	9.53	92.13	22.13	1	2	1	test	252	100	313
148	3	1	3	31	7.22	90.45	22.21	1	3	0	train	435	100	408
149	3	0	1	44	11.74	134.09	23.81	1	1	2	test	27	100	87
150	3	0	1	50	5.49	77.68	23.93	1	3	0	train	99	100	87
151	3	0	0	38	6.93	102.26	22.56	1	1	2	train	88	95	151
152	4	0	1	43	7.44	102.39	22.47	1	4	0	train	51	100	87
153	4	0	1	33	8.04	88.54	21.96	1	1	3	train	141	100	238
154	3	0	3	30	9.2	102.05	23.15	1	3	0	train	111	100	87
155	3	0	1	23	5.92	80.78	22.73	1	2	1	test	57	100	87
156	4	0	2	36	9.59	86.47	22.11	1	2	2	train	62	100	87
157	3	0	1	43	5.78	102.81	22.12	1	1	2	train	45	100	87
158	5	0	3	28	8.38	93.33	21.94	1	5	0	test	71	100	87
159	4	0	1	35	8.84	83.36	23.78	1	1	3	train	56	100	87
160	3	0	2	35	8.58	91.6	23.21	1	3	0	train	64	100	87
161	5	0	3	102	9.22	103.32	24.04	1	3	2	train	103	100	87
162	4	0	2	34	11.53	107.2	22.48	1	2	2	train	45	100	87
163	9	0	1	53	10.45	89.72	21.51	1	6	3	train	79	100	87
164	4	1	2	41	10.88	102.42	22.76	1	2	2	train	108	100	87
165	6	0	1	42	10.26	81.24	21.67	1	1	5	test	56	100	87
166	6	0	1	74	6.57	96.26	22.95	1	5	1	train	140	100	87
167	8	0	1	86	8.48	107.26	22.48	1	6	2	train	210	100	87
168	3	0	1	43	7.54	98.55	23.55	1	1	2	train	48	100	87
169	10	0	0	75	8.01	90.98	22.21	1	3	7	test	110	100	87
170	6	0	1	91	8.19	96	23.64	1	3	3	train	62	100	87
171	6	0	1	37	10.27	108.39	22.32	1	3	3	train	98	100	87
172	3	0	1	30	8.43	83.32	21.54	1	2	1	train	97	100	87
173	3	0	1	28	11.43	118.32	22.51	1	1	2	train	98	100	87
174	8	0	1	106	7.35	80.34	23.03	1	8	0	train	146	100	87
175	3	0	2	28	7.82	84.26	23.19	1	2	1	train	113	100	87
176	3	1	1	29	10.11	83.25	22.73	1	1	2	train	236	100	292
177	6	1	1	85	8.6	64.84	23.17	1	1	5	train	432	100	407
178	8	1	6	65	10.03	87.19	22.67	1	6	2	train	459	100	415
179	5	0	3	116	7.01	79.53	23.58	1	3	2	train	176	100	298
180	6	0	2	78	10.06	92.26	23.43	1	2	4	train	109	100	192
181	4	0	1	43	6.05	86.39	23.36	1	1	3	train	95	100	193
182	5	0	1	57	8.2	96.15	22.86	1	3	2	train	137	100	226
183	7	1	4	67	10.04	94.27	22.3	1	4	3	test	403	100	392
184	4	0	1	280	17.83	147.06	23.99	1	4	0	train	472	100	398
185	3	0	1	70	7.91	73.47	24.47	1	3	0	test	53	100	226
186	8	0	1	77	9.35	86.61	22.41	1	1	7	train	114	100	192
187	10	0	6	107	10.54	107.2	22.73	1	6	4	train	190	95	155
188	5	0	1	81	8.23	79.58	23.42	1	1	4	train	176	100	226
189	6	0	0	61	9.89	90.46	23.25	1	5	1	test	138	100	226
190	4	0	1	68	8.18	90.18	23.02	1	2	2	train	185	100	226
191	7	0	1	89	7.41	96.81	22.64	1	1	6	train	131	100	213
192	8	0	2	73	9.11	86.4	22.23	1	6	2	train	212	100	129
193	4	0	1	45	5.95	98.66	22.94	1	1	3	test	75	90	104
194	4	0	1	55	8.61	89.51	22.76	1	2	2	train	56	100	266
195	9	0	3	98	9.83	94.96	22.57	1	3	6	train	363	100	213
196	4	1	2	56	7.97	93.05	22.34	1	2	2	test	256	100	222
197	4	0	2	63	6.75	96.93	22.82	1	2	2	train	125	100	168
198	6	0	4	59	9.11	98.15	21.74	1	4	2	train	230	100	222
199	5	1	4	51	8.95	56.78	23.21	1	4	1	train	200	100	266
200	4	1	2	61	6.21	81.4	23.31	1	2	2	train	234	100	273
201	8	1	2	85	7.91	70.17	22.38	1	4	4	train	394	100	388
202	6	0	3	80	12.26	117.4	23.13	1	3	3	train	215	100	213
203	4	0	2	68	12	48.03	23.39	1	4	0	train	236	100	250
204	4	0	1	85	9.09	92.33	23.35	1	4	0	test	76	100	129
205	5	1	1	66	12.8	110.41	23.02	1	2	3	train	415	100	400
206	4	0	1	58	7.21	68.16	22.99	1	1	3	test	98	100	232
207	5	0	1	87	8.55	64.9	23	1	1	4	train	287	100	276
208	4	0	2	60	7.28	93.03	22.76	1	2	2	train	189	100	276
209	5	1	1	83	7.28	93.42	22.97	1	2	3	train	405	100	361
210	4	1	1	51	9.03	99.54	22.36	1	1	3	train	431	100	339
211	6	1	1	128	8.43	95.14	23.41	1	5	1	train	110	100	226
212	5	0	1	58	8.25	62.91	22.44	1	2	3	train	35	100	232
213	4	0	3	67	6.48	99.33	23.44	1	3	1	train	151	100	218
214	6	1	1	97	8.29	92.84	23.56	1	2	4	test	136	100	201
215	7	0	1	134	6.59	81.15	23.08	1	3	4	train	46	100	213
216	4	0	0	87	7.99	74.25	23.99	1	4	0	train	391	100	329
217	4	0	2	68	9.7	87.07	23.32	1	2	2	train	202	100	222
218	4	0	2	43	7.25	94.36	22.84	1	3	1	test	132	100	213
219	3	0	1	39	9.38	73.29	23.04	1	2	1	train	312	100	359
220	4	1	1	44	8.96	85.15	22.91	1	1	3	train	203	100	267
221	4	1	2	67	8.53	90.68	22.54	1	2	2	train	314	100	352
222	8	0	5	113	7.79	92.54	23.29	1	5	3	test	277	100	276
223	6	0	1	67	11.62	108.7	23.04	1	6	0	train	250	100	266
224	7	0	2	89	9.64	111.31	23.03	1	2	5	train	181	100	222
225	4	0	0	95	9.87	102.63	23.93	1	4	0	train	211	100	232
226	5	0	2	60	9.96	106.83	22.83	1	4	1	train	259	100	232
227	3	0	1	33	8.27	59.14	22.18	1	1	2	test	102	100	129
228	5	0	1	57	9.55	92.38	22.5	1	2	3	train	82	100	129
229	5	0	1	49	6.43	102.49	22.62	1	1	4	train	47	100	213
230	8	0	1	122	11.55	118.73	23.55	1	1	7	train	153	100	213
231	4	0	1	66	7.79	88.65	22.91	1	1	3	test	82	100	226
232	8	0	1	88	9.88	100.51	22.59	1	1	7	test	165	100	226
233	4	0	1	46	9.98	82.12	22.41	1	1	3	train	138	100	232
234	5	0	2	98	7.73	80.99	23.68	1	2	3	train	152	100	272
235	5	0	2	65	7.49	93.64	22.84	1	3	2	train	156	100	250
236	4	0	3	65	9.63	97.85	23.26	1	3	1	train	242	100	276
237	4	1	3	57	8.7	77.9	22.29	1	3	1	train	323	100	357
238	4	0	0	32	7.07	100.98	22.48	1	1	3	train	59	100	226
239	4	0	4	52	8.84	90.52	22.55	1	4	0	train	138	100	276
240	8	1	0	82	5.56	95.01	22.54	1	2	6	train	245	100	193
241	6	0	3	64	11.38	107.76	22.35	1	3	3	train	207	100	213
242	7	0	4	63	10.39	107.37	21.86	1	5	2	test	223	100	222
243	4	1	1	76	9.36	82.26	23.28	1	1	3	train	154	100	192
244	5	0	2	58	8.3	78.37	22.7	1	3	2	train	68	100	226
245	6	0	1	74	12.04	108.23	22.94	1	1	5	train	193	100	276
246	4	0	1	71	6.37	92.48	23.69	1	1	3	test	181	100	226
247	7	0	1	75	7.35	100.31	22.63	1	1	6	train	79	100	226
248	4	1	0	56	8.54	88.85	22.94	1	3	1	train	424	100	402
249	7	0	1	108	7.89	88.16	23.3	1	4	3	train	289	100	129
250	8	0	1	72	8.48	90.56	22.65	1	4	4	train	436	100	398
251	5	0	0	103	9.04	68.56	23.74	1	1	4	train	27	100	213
252	4	0	1	63	8.28	102.42	22.9	1	1	3	train	313	100	361
253	3	0	0	24	6.47	82.05	22.44	1	1	2	train	116	100	213
254	9	0	0	159	12.94	123.06	23.45	1	9	0	test	246	100	266
255	5	0	2	90	10.45	53.53	23.01	1	3	2	train	106	100	129
256	7	0	1	90	10.7	107.33	23.24	1	1	6	train	126	100	213
257	9	0	3	145	10.78	109.88	23.71	1	3	6	train	225	100	272
258	5	0	1	66	9.57	99.07	23.3	1	1	4	train	114	100	232
259	5	0	1	95	7.16	94.72	23.5	1	3	2	train	68	90	104
260	6	0	5	110	7.52	74.58	23.17	1	5	1	train	305	100	276
261	4	0	1	55	7.93	80.38	23.25	1	1	3	train	265	100	339
262	9	0	0	67	6.55	101.73	21.89	1	6	3	test	234	100	226
263	10	0	1	90	8.8	93.41	22.73	1	3	7	test	362	100	329
264	7	0	1	136	8.12	88.53	23.11	1	1	6	train	183	100	213
265	5	1	1	82	6.17	108.33	22.78	1	1	4	train	268	100	325
266	4	0	2	72	8.47	73.02	23.06	1	2	2	train	189	100	273
267	6	1	4	69	6.73	97.42	22.59	1	4	2	train	398	100	369
268	6	0	2	81	6.23	94.12	23.52	1	2	4	train	149	100	213
269	10	0	2	80	10.04	93.79	22.11	1	2	8	train	194	100	208
270	8	0	2	105	8.05	76.68	22.49	1	2	6	train	207	100	213
271	6	0	1	64	11.1	99.44	23.19	1	1	5	train	160	100	232
272	4	0	1	59	13.83	117.78	22.98	1	3	1	test	334	100	226
273	4	0	3	75	8.55	87.39	23.64	1	3	1	train	213	100	276
274	4	0	1	85	7.88	98.51	23.48	1	4	0	train	73	100	232
275	4	0	1	53	8.54	82.94	23.21	1	4	0	train	51	100	129
276	5	1	5	46	10.83	97.17	22.53	1	5	0	train	226	100	285
277	4	0	4	36	7.76	92.73	22.46	1	4	0	train	352	100	321
278	4	0	0	38	8.22	92.33	22.06	1	1	3	test	66	100	129
279	10	0	2	121	10.03	104.72	22.46	1	5	5	train	145	100	129
280	5	0	2	81	7.59	73.42	22.49	1	3	2	train	107	100	193
281	4	1	1	63	8.32	110.63	22.9	1	1	3	test	304	100	321
282	5	0	0	103	7.67	76.78	23.09	1	4	1	train	43	100	226
283	5	0	1	78	8.98	68.95	23.13	1	2	3	train	227	100	129
284	4	1	2	64	11.33	111.85	23.2	1	2	2	train	258	100	316
285	4	0	4	65	10.66	97.59	22.74	1	4	0	train	130	100	232
286	4	0	2	67	8.89	84.49	23.17	1	2	2	train	182	100	208
287	4	0	1	43	6.48	97.72	22.06	1	3	1	test	82	100	129
288	4	0	4	45	9.8	78.78	23.14	1	4	0	train	216	100	276
289	4	1	1	51	8.46	92	22.45	1	1	3	train	444	100	359
290	7	0	4	75	7.06	94.24	22.65	1	4	3	train	113	100	192
291	4	0	1	51	6.17	98.25	23.48	1	1	3	train	282	100	329
292	5	1	0	52	8.41	88.55	22.48	1	1	4	train	276	100	327
293	5	1	1	46	8.73	85.13	22.99	1	1	4	train	174	100	168
294	4	0	0	80	11.79	124.98	23.68	1	1	3	train	69	100	129
295	8	0	1	103	7.88	104.06	23.08	1	4	4	train	274	100	226
296	8	1	1	92	9.93	53.87	23.18	1	2	6	test	95	90	104
297	4	0	1	66	12.76	85.59	23.48	1	2	2	train	142	100	129
298	5	1	2	44	8.81	94.26	22.5	1	2	3	test	448	100	411
299	5	1	3	64	8.23	85.03	23.12	1	3	2	train	262	90	242
300	5	1	1	71	10.02	124.01	23.04	1	1	4	test	371	100	380
301	4	0	1	74	14.66	126.21	23.83	1	4	0	train	172	100	232
302	4	1	0	55	10.05	99.73	22.91	1	4	0	train	237	100	295
303	6	0	1	49	7.32	94.32	22.59	1	1	5	train	118	100	192
304	4	0	3	49	7.45	85.63	22.49	1	3	1	train	321	100	276
305	9	0	1	71	8.91	80.83	22.13	1	8	1	train	151	100	250
306	10	0	0	91	8.41	84.39	22.25	1	5	5	train	103	100	226
307	5	0	1	80	7.35	93.7	23.67	1	1	4	train	263	100	328
308	5	0	4	71	8.44	94.68	23.31	1	4	1	train	222	100	290
309	4	0	1	51	6.24	96.14	23.09	1	1	3	train	152	100	213
310	10	0	1	122	12.38	121.85	22.72	1	5	5	train	212	100	226
311	5	0	1	104	12.16	129.17	23.85	1	3	2	train	87	100	222
312	3	1	1	21	8.16	106.23	21.7	1	2	1	train	304	100	298
313	6	0	0	73	8.06	98.91	22.95	1	1	5	train	210	100	232
314	7	0	0	51	11.21	90.34	21.89	1	1	6	train	101	100	232
315	10	1	0	114	10.15	107.17	22.54	1	2	8	train	191	100	272
316	5	0	1	94	11.59	93.41	23.64	1	1	4	train	95	100	213
317	8	0	1	95	9.76	90.93	22.66	1	6	2	train	228	100	213
318	6	0	6	117	7.88	97.07	23.24	1	6	0	train	442	100	276
319	5	0	1	54	12.02	113.58	22.57	1	1	4	train	317	100	232
320	7	0	5	65	6.87	85.7	22.2	1	6	1	train	252	100	272
321	10	0	1	74	8.59	97.43	22.76	1	6	4	train	136	100	129
322	6	0	1	48	8.21	89.71	21.99	1	5	1	train	109	100	168
323	7	0	1	99	9.15	92.5	22.89	1	3	4	train	248	100	232
324	4	0	1	79	10.31	102.59	24.06	1	1	3	train	139	100	213
325	5	0	1	108	8.62	80.67	23.34	1	1	4	train	316	100	280
326	8	1	1	64	11.7	112.21	22.21	1	2	6	test	426	100	404
327	3	0	1	30	9.97	98.64	22.42	1	3	0	train	193	100	129
328	8	0	1	103	7.8	70.56	23.05	1	3	5	test	233	100	232
329	4	1	3	68	7.56	99.26	23.51	1	3	1	test	365	100	376
330	9	0	1	64	10.3	95.16	21.88	1	3	6	train	169	100	281
331	4	0	1	57	8.42	80.87	23	1	3	1	train	83	100	129
332	5	0	1	47	8.22	88.4	22.57	1	2	3	train	93	100	129
333	6	0	1	64	12.65	59.47	22.79	1	5	1	train	68	100	129
334	6	1	3	92	11.37	108.86	23.66	1	3	3	train	377	100	341
335	4	0	0	65	11.71	110.69	23.39	1	2	2	test	156	100	341
336	4	0	1	21	9.16	64.53	21.6	1	4	0	train	347	100	341
337	5	0	1	86	7.92	68.61	23.32	1	2	3	test	368	100	341
338	6	0	1	124	12.23	112.16	23.15	1	5	1	test	365	100	341
339	10	1	9	116	8.37	82.93	22.78	1	9	1	train	437	90	409
340	4	0	1	79	6.81	65.78	23.66	1	4	0	test	144	100	129
341	8	0	1	97	7.72	96.44	22.4	1	4	4	train	75	100	129
342	6	1	2	69	7.84	98.22	22.89	1	2	4	train	405	100	382
343	4	0	2	50	8.28	87.17	22.47	1	2	2	train	464	100	382
344	4	0	3	47	12.66	94.67	21.96	1	4	0	test	401	100	382
345	5	1	1	60	10.02	99.96	22.98	1	1	4	test	448	100	412
346	6	0	2	110	8.53	91.57	23.29	1	2	4	train	436	100	382
347	6	0	1	138	12.57	108.45	23.31	1	1	5	test	349	100	369
348	9	1	5	87	10.05	98.85	22.96	1	6	3	train	137	95	151
349	5	0	1	76	13.31	117.85	23.47	1	2	3	train	65	95	151
350	6	0	2	84	8.44	80.59	22.76	1	3	3	train	129	95	151
351	4	0	1	52	11.38	106.68	23.18	1	2	2	train	199	95	151
352	5	0	1	62	9.25	84.24	22.59	1	1	4	train	51	95	151
353	4	0	3	65	10.05	96.09	23.12	1	3	1	train	119	95	151
354	5	0	2	87	13.76	121.33	23.25	1	2	3	train	109	95	151
355	5	0	2	84	6.43	96.39	23.82	1	4	1	train	104	95	151
356	4	0	2	66	12.47	120.33	23.04	1	2	2	train	82	95	151
357	5	0	1	63	10.72	103.03	23.04	1	2	3	test	92	95	151
358	6	0	1	67	7.92	95.1	22.71	1	4	2	train	109	95	151
359	8	0	1	51	10.14	80.93	21.96	1	5	3	train	112	95	151
360	5	0	0	59	7.51	94.12	22.44	1	2	3	test	90	95	151
361	4	0	2	62	10.07	110.88	22.74	1	3	1	train	314	95	151
362	6	0	2	76	6.87	89.31	22.47	1	2	4	train	463	100	369
363	5	0	3	54	7.23	101.24	22.77	1	3	2	train	364	100	369
364	4	0	1	73	9.54	88.47	23.07	1	3	1	train	369	100	369
365	4	0	3	60	10.73	118.57	22.58	1	3	1	train	464	100	369
366	6	0	1	88	10.04	115.46	23.14	1	1	5	test	318	100	369
367	4	0	4	70	7.63	79.29	23.26	1	4	0	train	259	100	369
368	4	1	2	45	9.45	80.48	22.86	1	1	3	test	319	100	354
369	4	0	1	47	9.92	95.86	22.58	1	3	1	train	88	100	129
370	4	0	1	70	8.38	113.87	23.72	1	1	3	train	110	100	129
371	4	0	1	60	8.75	86.13	23.11	1	2	2	train	65	100	129
372	5	0	3	103	7.22	98.09	23.93	1	3	2	train	415	100	280
373	5	0	0	78	11	112.83	22.69	1	1	4	train	183	100	280
374	6	0	1	71	10.15	93.67	22.4	1	1	5	train	267	100	280
375	9	0	1	45	14.16	113.99	21.89	1	1	8	train	268	100	280
376	8	0	1	170	11.18	122.39	23.58	1	2	6	train	226	100	280
377	4	0	4	97	6.98	86.43	23.64	1	4	0	train	258	100	280
378	4	0	1	53	7.96	90.34	22.82	1	1	3	train	227	100	280
379	8	0	1	119	9.41	94.15	23.19	1	1	7	test	164	100	280
380	5	0	1	71	7.7	74.38	22.93	1	2	3	train	262	100	280
381	4	0	2	56	9.55	91.4	22.8	1	2	2	train	294	100	369
382	6	0	2	55	9.39	82.21	22.51	1	2	4	train	336	100	369
383	9	0	4	115	11.36	107.05	23.21	1	6	3	train	409	100	280
